timestamp,hour,voltage,current,power,temperature,humidity
2026-07-23 14:44:40,14,0.00,0.000,0.00,27.7,86.9
2026-07-23 14:44:42,14,0.00,0.000,0.00,27.7,86.9
2026-07-23 14:44:43,14,0.00,0.000,0.00,27.7,87.1
2026-07-23 14:44:44,14,0.00,0.000,0.00,27.7,87.1
2026-07-23 14:44:45,14,0.00,0.000,0.00,27.7,87.1
2026-07-23 14:44:46,14,0.00,0.000,0.00,27.6,86.9
2026-07-23 14:44:47,14,0.00,0.000,0.00,27.6,86.9
2026-07-23 14:44:49,14,0.00,0.000,0.00,27.6,86.9
2026-07-23 14:44:50,14,0.00,0.000,0.00,27.6,86.9
2026-07-23 14:44:51,14,0.00,0.566,0.00,27.6,86.9
2026-07-23 14:44:52,14,0.00,0.822,0.00,27.6,86.9
2026-07-23 14:44:53,14,0.00,0.820,0.00,27.6,86.8
2026-07-23 14:44:54,14,0.00,0.828,0.00,27.6,86.8
2026-07-23 14:44:55,14,0.00,0.837,0.00,27.6,86.8
2026-07-23 14:44:57,14,0.00,0.821,0.00,27.7,86.8
2026-07-23 14:44:58,14,34.14,0.850,29.01,27.7,86.8
2026-07-23 14:44:59,14,123.57,0.988,122.14,27.7,86.8
2026-07-23 14:45:00,14,123.91,0.981,121.50,27.6,86.9
2026-07-23 14:45:01,14,123.91,0.971,120.26,27.6,86.9
2026-07-23 14:45:02,14,123.68,0.977,120.83,27.6,86.9
2026-07-23 14:45:04,14,123.82,0.982,121.54,27.6,86.9
2026-07-23 14:45:05,14,123.83,0.968,119.82,27.6,86.9
2026-07-23 14:45:06,14,123.86,0.973,120.45,27.6,86.9
2026-07-23 14:45:07,14,123.67,0.949,117.31,27.6,86.9
2026-07-23 14:45:08,14,124.15,0.963,119.60,27.6,86.9
2026-07-23 14:45:09,14,123.66,0.975,120.53,27.6,86.9
2026-07-23 14:45:11,14,123.89,0.965,119.54,27.6,86.9
2026-07-23 14:45:12,14,123.73,0.954,118.02,27.6,86.9
2026-07-23 14:45:13,14,123.84,0.970,120.11,27.6,86.9
2026-07-23 14:45:14,14,124.01,0.970,120.24,27.6,86.7
2026-07-23 14:45:15,14,123.65,0.955,118.05,27.6,86.7
2026-07-23 14:45:16,14,124.07,0.964,119.61,27.6,86.7
2026-07-23 14:45:18,14,123.60,0.950,117.48,27.6,86.7
2026-07-23 14:45:19,14,123.73,0.964,119.27,27.6,86.7
2026-07-23 14:45:20,14,123.55,0.948,117.13,27.6,86.7
2026-07-23 14:45:21,14,124.08,0.958,118.90,27.6,86.6
2026-07-23 14:45:22,14,124.15,0.940,116.70,27.6,86.6
2026-07-23 14:45:23,14,123.45,0.920,113.53,27.6,86.6
2026-07-23 14:45:25,14,123.65,0.945,116.86,27.6,86.8
2026-07-23 14:45:26,14,123.93,0.930,115.22,27.6,86.8
2026-07-23 14:45:27,14,123.70,0.911,112.69,27.6,86.8
2026-07-23 14:45:28,14,124.12,0.914,113.40,27.6,86.9
2026-07-23 14:45:29,14,123.42,0.893,110.26,27.6,86.9
2026-07-23 14:45:30,14,123.61,0.872,107.79,27.6,86.9
2026-07-23 14:45:32,14,123.73,0.890,110.12,27.6,86.9
2026-07-23 14:45:33,14,123.07,0.897,110.43,27.6,86.9
2026-07-23 14:45:34,14,123.15,0.885,109.03,27.6,86.9
2026-07-23 14:45:35,14,123.67,0.899,111.15,27.6,86.9
2026-07-23 14:45:36,14,123.88,0.884,109.45,27.6,86.9
2026-07-23 14:45:37,14,123.65,0.879,108.63,27.6,86.9
2026-07-23 14:45:39,14,123.81,0.894,110.64,27.6,86.9
2026-07-23 14:45:40,14,123.40,0.898,110.80,27.6,86.9
2026-07-23 14:45:41,14,123.92,0.904,112.03,27.6,86.9
2026-07-23 14:45:42,14,123.03,0.901,110.82,27.6,86.9
2026-07-23 14:45:43,14,123.61,0.891,110.16,27.6,86.9
2026-07-23 14:45:44,14,123.95,0.902,111.83,27.6,86.9
2026-07-23 14:45:46,14,123.47,0.910,112.42,27.6,86.9
2026-07-23 14:45:47,14,123.37,0.899,110.91,27.6,86.9
2026-07-23 14:45:48,14,124.30,0.910,113.08,27.6,86.9
2026-07-23 14:45:49,14,124.03,0.908,112.67,27.6,86.9
2026-07-23 14:45:50,14,124.09,0.910,112.90,27.6,86.9
2026-07-23 14:45:51,14,124.29,0.903,112.29,27.6,86.9
2026-07-23 14:45:53,14,124.07,0.888,110.13,27.6,86.8
2026-07-23 14:45:54,14,123.80,0.883,109.31,27.6,86.8
2026-07-23 14:45:55,14,124.10,0.897,111.34,27.6,86.8
2026-07-23 14:45:56,14,124.16,0.900,111.77,27.6,86.8
2026-07-23 14:45:57,14,124.17,0.923,114.57,27.6,86.8
2026-07-23 14:45:58,14,124.09,0.922,114.43,27.6,86.8
2026-07-23 14:46:00,14,124.22,0.921,114.37,27.6,86.8
2026-07-23 14:46:01,14,124.00,0.913,113.20,27.6,86.8
2026-07-23 14:46:02,14,124.10,0.896,111.24,27.6,86.8
2026-07-23 14:46:03,14,122.12,0.955,116.60,27.6,86.8
2026-07-23 14:46:04,14,121.39,0.966,117.28,27.6,86.8
2026-07-23 14:46:05,14,121.25,0.947,114.78,27.6,86.8
2026-07-23 14:46:07,14,121.13,0.953,115.46,27.6,86.8
2026-07-23 14:46:08,14,120.75,0.967,116.72,27.6,86.8
2026-07-23 14:46:09,14,121.31,0.957,116.12,27.6,86.8
2026-07-23 14:46:10,14,121.39,0.981,119.04,27.6,86.8
2026-07-23 14:46:11,14,121.10,0.962,116.53,27.6,86.8
2026-07-23 14:46:12,14,121.33,0.959,116.32,27.6,86.8
2026-07-23 14:46:14,14,121.37,0.976,118.50,27.6,86.8
2026-07-23 14:46:15,14,121.27,0.956,115.93,27.6,86.8
2026-07-23 14:46:16,14,121.20,0.947,114.74,27.6,86.8
2026-07-23 14:46:17,14,121.69,0.918,111.70,27.6,86.8
2026-07-23 14:46:18,14,121.69,0.939,114.25,27.6,86.8
2026-07-23 14:46:19,14,121.56,0.950,115.45,27.6,86.8
2026-07-23 14:46:21,14,121.88,0.944,115.09,27.6,86.8
2026-07-23 14:46:22,14,121.53,0.948,115.20,27.6,86.8
2026-07-23 14:46:23,14,123.83,0.945,117.05,27.6,86.8
2026-07-23 14:46:24,14,123.99,0.940,116.53,27.6,86.7
2026-07-23 14:46:25,14,124.09,0.952,118.13,27.6,86.7
2026-07-23 14:46:26,14,124.44,0.952,118.42,27.6,86.7
2026-07-23 14:46:28,14,124.23,0.933,115.85,27.6,86.8
2026-07-23 14:46:29,14,124.50,0.955,118.90,27.6,86.8
2026-07-23 14:46:30,14,124.78,0.951,118.63,27.6,86.8
2026-07-23 14:46:31,14,124.38,0.953,118.51,27.6,86.8
2026-07-23 14:46:32,14,124.59,0.948,118.15,27.6,86.8
2026-07-23 14:46:33,14,124.44,0.935,116.32,27.6,86.8
2026-07-23 14:46:35,14,124.10,0.937,116.28,27.6,86.8
