timestamp,hour,voltage,current,power,temperature,humidity
2026-07-23 14:44:40,14,0.00,0.000,0.00,27.7,86.9
2026-07-23 14:44:42,14,0.00,0.000,0.00,27.7,86.9
2026-07-23 14:44:43,14,0.00,0.000,0.00,27.7,87.1
2026-07-23 14:44:44,14,0.00,0.000,0.00,27.7,87.1
2026-07-23 14:44:45,14,0.00,0.000,0.00,27.7,87.1
2026-07-23 14:44:46,14,0.00,0.000,0.00,27.6,86.9
2026-07-23 14:44:47,14,0.00,0.000,0.00,27.6,86.9
2026-07-23 14:44:49,14,0.00,0.000,0.00,27.6,86.9
2026-07-23 14:44:50,14,0.00,0.000,0.00,27.6,86.9
2026-07-23 14:44:51,14,0.00,0.566,0.00,27.6,86.9
2026-07-23 14:44:52,14,0.00,0.822,0.00,27.6,86.9
2026-07-23 14:44:53,14,0.00,0.820,0.00,27.6,86.8
2026-07-23 14:44:54,14,0.00,0.828,0.00,27.6,86.8
2026-07-23 14:44:55,14,0.00,0.837,0.00,27.6,86.8
2026-07-23 14:44:57,14,0.00,0.821,0.00,27.7,86.8
2026-07-23 14:44:58,14,34.14,0.850,29.01,27.7,86.8
2026-07-23 14:44:59,14,123.57,0.988,122.14,27.7,86.8
2026-07-23 14:45:00,14,123.91,0.981,121.50,27.6,86.9
2026-07-23 14:45:01,14,123.91,0.971,120.26,27.6,86.9
2026-07-23 14:45:02,14,123.68,0.977,120.83,27.6,86.9
2026-07-23 14:45:04,14,123.82,0.982,121.54,27.6,86.9
2026-07-23 14:45:05,14,123.83,0.968,119.82,27.6,86.9
2026-07-23 14:45:06,14,123.86,0.973,120.45,27.6,86.9
2026-07-23 14:45:07,14,123.67,0.949,117.31,27.6,86.9
2026-07-23 14:45:08,14,124.15,0.963,119.60,27.6,86.9
2026-07-23 14:45:09,14,123.66,0.975,120.53,27.6,86.9
2026-07-23 14:45:11,14,123.89,0.965,119.54,27.6,86.9
2026-07-23 14:45:12,14,123.73,0.954,118.02,27.6,86.9
2026-07-23 14:45:13,14,123.84,0.970,120.11,27.6,86.9
2026-07-23 14:45:14,14,124.01,0.970,120.24,27.6,86.7
2026-07-23 14:45:15,14,123.65,0.955,118.05,27.6,86.7
2026-07-23 14:45:16,14,124.07,0.964,119.61,27.6,86.7
2026-07-23 14:45:18,14,123.60,0.950,117.48,27.6,86.7
2026-07-23 14:45:19,14,123.73,0.964,119.27,27.6,86.7
